path,filename,category,size_bytes,modified_time
README.md,README.md,DOCUMENTATION,6141,2026-08-23T18:10:38.753713
CHANGELOG.md,CHANGELOG.md,DOCUMENTATION,1598,2026-08-23T18:10:31.404729
Groundwater quality data_Northbengal.xlsx,Groundwater quality data_Northbengal.xlsx,FINAL_SOURCE_DATA,16591,2026-08-20T21:55:07.823049
scientific_audit_report.md,scientific_audit_report.md,FINAL_REPORT,12174,2026-08-23T18:05:27.271829
scripts/phase7_shap_interpretation.py,phase7_shap_interpretation.py,RESEARCH_SCRIPT,5547,2026-08-22T22:20:20.907552
scripts/stage3_2_performance_optimization.py,stage3_2_performance_optimization.py,RESEARCH_SCRIPT,34471,2026-08-23T02:09:34.549082
scripts/audit_phase1_qa_qc.py,audit_phase1_qa_qc.py,RESEARCH_SCRIPT,7949,2026-08-22T21:11:23.720526
scripts/phase4_feature_engineering.py,phase4_feature_engineering.py,RESEARCH_SCRIPT,10229,2026-08-22T23:18:59.488518
scripts/stage5_1_easy_input_feasibility_audit.py,stage5_1_easy_input_feasibility_audit.py,RESEARCH_SCRIPT,42229,2026-08-23T15:20:53.468216
scripts/stage3_1_target_transform_audit.py,stage3_1_target_transform_audit.py,RESEARCH_SCRIPT,20490,2026-08-23T00:36:58.289498
scripts/phase1_5_hydrochemistry.py,phase1_5_hydrochemistry.py,RESEARCH_SCRIPT,7812,2026-08-22T21:11:30.115638
scripts/phase5_ml_modeling.py,phase5_ml_modeling.py,RESEARCH_SCRIPT,18151,2026-08-23T00:15:01.441504
scripts/master_groundwater_screening_architecture_v2.py,master_groundwater_screening_architecture_v2.py,RESEARCH_SCRIPT,55913,2026-08-23T17:10:35.782394
scripts/stage5_3_hydrochemical_regime_association.py,stage5_3_hydrochemical_regime_association.py,RESEARCH_SCRIPT,53310,2026-08-23T15:44:21.437230
scripts/stage5_scientific_performance_recovery.py,stage5_scientific_performance_recovery.py,RESEARCH_SCRIPT,35340,2026-08-23T04:43:06.040004
scripts/stage5_2_tiered_screening_and_conformal.py,stage5_2_tiered_screening_and_conformal.py,RESEARCH_SCRIPT,35654,2026-08-23T15:25:06.436513
scripts/stage5_4_multi_metal_prediction_feasibility.py,stage5_4_multi_metal_prediction_feasibility.py,RESEARCH_SCRIPT,42627,2026-08-23T15:52:39.715216
scripts/phase2_risk_indices.py,phase2_risk_indices.py,RESEARCH_SCRIPT,13383,2026-08-22T22:58:20.877563
scripts/master_groundwater_screening_architecture.py,master_groundwater_screening_architecture.py,RESEARCH_SCRIPT,45699,2026-08-23T16:26:17.728518
scripts/reorganize_project.py,reorganize_project.py,RESEARCH_SCRIPT,11136,2026-08-23T18:09:39.001857
